Data file :  /home/cs17btech11044/data_mining/data-mining/data/main_data_splits/train.json
checkpoints dir :  /home/cs17btech11044/data_mining/data-mining/nyt/bert-base-uncased_train
Token indices sequence length is longer than the specified maximum sequence length for this model (15150 > 512). Running this sequence through the model will result in indexing errors
Token indices sequence length is longer than the specified maximum sequence length for this model (1195 > 512). Running this sequence through the model will result in indexing errors
Token indices sequence length is longer than the specified maximum sequence length for this model (15150 > 512). Running this sequence through the model will result in indexing errors
Token indices sequence length is longer than the specified maximum sequence length for this model (1195 > 512). Running this sequence through the model will result in indexing errors
Epoch 0 | Batch 3650/4225 | Loss 1.010708 | Accuracy 63.034100
Epoch 0 | Batch 3700/4225 | Loss 1.009678 | Accuracy 63.072480
Epoch 0 | Batch 3750/4225 | Loss 1.009367 | Accuracy 63.067349
Epoch 0 | Batch 3800/4225 | Loss 1.008897 | Accuracy 63.068929
Epoch 0 | Batch 3850/4225 | Loss 1.008762 | Accuracy 63.065600
Epoch 0 | Batch 3900/4225 | Loss 1.007893 | Accuracy 63.072770
Epoch 0 | Batch 3950/4225 | Loss 1.007541 | Accuracy 63.078176
Epoch 0 | Batch 4000/4225 | Loss 1.007629 | Accuracy 63.069389
Epoch 0 | Batch 4050/4225 | Loss 1.008078 | Accuracy 63.045390
Epoch 0 | Batch 4100/4225 | Loss 1.007595 | Accuracy 63.059315
Epoch 0 | Batch 4150/4225 | Loss 1.006803 | Accuracy 63.088714
Epoch 0 | Batch 4200/4225 | Loss 1.006871 | Accuracy 63.085426
Token indices sequence length is longer than the specified maximum sequence length for this model (15150 > 512). Running this sequence through the model will result in indexing errors
Token indices sequence length is longer than the specified maximum sequence length for this model (1195 > 512). Running this sequence through the model will result in indexing errors
Token indices sequence length is longer than the specified maximum sequence length for this model (1195 > 512). Running this sequence through the model will result in indexing errors
Token indices sequence length is longer than the specified maximum sequence length for this model (15150 > 512). Running this sequence through the model will result in indexing errors
Epoch 1 | Batch 0/4225 | Loss 0.921192 | Accuracy 59.375000
Epoch 1 | Batch 50/4225 | Loss 0.939418 | Accuracy 65.318627
Epoch 1 | Batch 100/4225 | Loss 0.946095 | Accuracy 64.294554
Epoch 1 | Batch 150/4225 | Loss 0.946211 | Accuracy 64.134934
Epoch 1 | Batch 200/4225 | Loss 0.947647 | Accuracy 64.163557
Epoch 1 | Batch 250/4225 | Loss 0.949143 | Accuracy 64.243028
Epoch 1 | Batch 300/4225 | Loss 0.947168 | Accuracy 64.472591
Epoch 1 | Batch 350/4225 | Loss 0.950812 | Accuracy 64.245014
Epoch 1 | Batch 400/4225 | Loss 0.955458 | Accuracy 64.074190
Epoch 1 | Batch 450/4225 | Loss 0.958523 | Accuracy 63.802661
Epoch 1 | Batch 500/4225 | Loss 0.959484 | Accuracy 63.866018
Epoch 1 | Batch 550/4225 | Loss 0.959554 | Accuracy 63.906534
Epoch 1 | Batch 600/4225 | Loss 0.959223 | Accuracy 63.971506
Epoch 1 | Batch 650/4225 | Loss 0.959696 | Accuracy 63.964094
Epoch 1 | Batch 700/4225 | Loss 0.961281 | Accuracy 63.913160
Epoch 1 | Batch 750/4225 | Loss 0.963863 | Accuracy 63.802430
Epoch 1 | Batch 800/4225 | Loss 0.963692 | Accuracy 63.791355
Epoch 1 | Batch 850/4225 | Loss 0.963786 | Accuracy 63.840335
Epoch 1 | Batch 900/4225 | Loss 0.965157 | Accuracy 63.762486
Epoch 1 | Batch 950/4225 | Loss 0.963611 | Accuracy 63.814406
Epoch 1 | Batch 1000/4225 | Loss 0.964896 | Accuracy 63.736264
Epoch 1 | Batch 1050/4225 | Loss 0.963597 | Accuracy 63.757731
Epoch 1 | Batch 1100/4225 | Loss 0.964169 | Accuracy 63.782925
Epoch 1 | Batch 1150/4225 | Loss 0.963362 | Accuracy 63.811360
Epoch 1 | Batch 1200/4225 | Loss 0.963627 | Accuracy 63.800999
Epoch 1 | Batch 1250/4225 | Loss 0.965609 | Accuracy 63.729017
Epoch 1 | Batch 1300/4225 | Loss 0.966188 | Accuracy 63.715411
Epoch 1 | Batch 1350/4225 | Loss 0.966383 | Accuracy 63.677369
Epoch 1 | Batch 1400/4225 | Loss 0.966485 | Accuracy 63.664347
Epoch 1 | Batch 1450/4225 | Loss 0.966031 | Accuracy 63.695296
Epoch 1 | Batch 1500/4225 | Loss 0.965352 | Accuracy 63.717938
Epoch 1 | Batch 1550/4225 | Loss 0.965262 | Accuracy 63.716957
Epoch 1 | Batch 1600/4225 | Loss 0.965803 | Accuracy 63.671143
Epoch 1 | Batch 1650/4225 | Loss 0.965536 | Accuracy 63.671638
Epoch 1 | Batch 1700/4225 | Loss 0.966251 | Accuracy 63.662919
Epoch 1 | Batch 1750/4225 | Loss 0.967199 | Accuracy 63.656482
Epoch 1 | Batch 1800/4225 | Loss 0.966881 | Accuracy 63.705927
Epoch 1 | Batch 1850/4225 | Loss 0.968190 | Accuracy 63.631145
Epoch 1 | Batch 1900/4225 | Loss 0.968383 | Accuracy 63.642491
Epoch 1 | Batch 1950/4225 | Loss 0.967602 | Accuracy 63.709316
Epoch 1 | Batch 2000/4225 | Loss 0.967914 | Accuracy 63.702524
Epoch 1 | Batch 2050/4225 | Loss 0.967585 | Accuracy 63.696063
Epoch 1 | Batch 2100/4225 | Loss 0.967153 | Accuracy 63.701809
Epoch 1 | Batch 2150/4225 | Loss 0.966333 | Accuracy 63.750872
Epoch 1 | Batch 2200/4225 | Loss 0.966653 | Accuracy 63.743753
Epoch 1 | Batch 2250/4225 | Loss 0.965997 | Accuracy 63.739727
Epoch 1 | Batch 2300/4225 | Loss 0.965383 | Accuracy 63.738592
Epoch 1 | Batch 2350/4225 | Loss 0.965421 | Accuracy 63.722884
Epoch 1 | Batch 2400/4225 | Loss 0.966608 | Accuracy 63.733861
Epoch 1 | Batch 2450/4225 | Loss 0.967796 | Accuracy 63.697215
Epoch 1 | Batch 2500/4225 | Loss 0.967512 | Accuracy 63.729508
Epoch 1 | Batch 2550/4225 | Loss 0.967205 | Accuracy 63.747060
Epoch 1 | Batch 2600/4225 | Loss 0.967222 | Accuracy 63.743512
Epoch 1 | Batch 2650/4225 | Loss 0.967487 | Accuracy 63.721237
Epoch 1 | Batch 2700/4225 | Loss 0.967313 | Accuracy 63.726398
Epoch 1 | Batch 2750/4225 | Loss 0.967563 | Accuracy 63.737050
Epoch 1 | Batch 2800/4225 | Loss 0.968335 | Accuracy 63.717199
Epoch 1 | Batch 2850/4225 | Loss 0.968431 | Accuracy 63.727639
Epoch 1 | Batch 2900/4225 | Loss 0.968067 | Accuracy 63.722639
Epoch 1 | Batch 2950/4225 | Loss 0.968197 | Accuracy 63.715690
Epoch 1 | Batch 3000/4225 | Loss 0.968454 | Accuracy 63.721468
Epoch 1 | Batch 3050/4225 | Loss 0.967775 | Accuracy 63.741396
Epoch 1 | Batch 3100/4225 | Loss 0.968011 | Accuracy 63.721380
Epoch 1 | Batch 3150/4225 | Loss 0.968083 | Accuracy 63.726793
Epoch 1 | Batch 3200/4225 | Loss 0.968030 | Accuracy 63.707630
Epoch 1 | Batch 3250/4225 | Loss 0.968073 | Accuracy 63.702515
Epoch 1 | Batch 3300/4225 | Loss 0.968518 | Accuracy 63.702287
Epoch 1 | Batch 3350/4225 | Loss 0.968622 | Accuracy 63.700201
Epoch 1 | Batch 3400/4225 | Loss 0.968311 | Accuracy 63.694502
Epoch 1 | Batch 3450/4225 | Loss 0.968681 | Accuracy 63.691684
Epoch 1 | Batch 3500/4225 | Loss 0.969336 | Accuracy 63.649672
Epoch 1 | Batch 3550/4225 | Loss 0.969198 | Accuracy 63.671325
Epoch 1 | Batch 3600/4225 | Loss 0.969398 | Accuracy 63.662004
Epoch 1 | Batch 3650/4225 | Loss 0.969508 | Accuracy 63.664921
Epoch 1 | Batch 3700/4225 | Loss 0.969722 | Accuracy 63.669447
Epoch 1 | Batch 3750/4225 | Loss 0.969997 | Accuracy 63.667189
Epoch 1 | Batch 3800/4225 | Loss 0.970319 | Accuracy 63.672389
Epoch 1 | Batch 3850/4225 | Loss 0.969570 | Accuracy 63.690438
Epoch 1 | Batch 3900/4225 | Loss 0.969579 | Accuracy 63.679986
Epoch 1 | Batch 3950/4225 | Loss 0.968935 | Accuracy 63.703809
Epoch 1 | Batch 4000/4225 | Loss 0.968955 | Accuracy 63.696576
Epoch 1 | Batch 4050/4225 | Loss 0.968523 | Accuracy 63.709578
Epoch 1 | Batch 4100/4225 | Loss 0.968238 | Accuracy 63.716929
Epoch 1 | Batch 4150/4225 | Loss 0.968358 | Accuracy 63.729372
Epoch 1 | Batch 4200/4225 | Loss 0.968643 | Accuracy 63.719948
Token indices sequence length is longer than the specified maximum sequence length for this model (1195 > 512). Running this sequence through the model will result in indexing errors
Token indices sequence length is longer than the specified maximum sequence length for this model (1195 > 512). Running this sequence through the model will result in indexing errors
Token indices sequence length is longer than the specified maximum sequence length for this model (15150 > 512). Running this sequence through the model will result in indexing errors
Token indices sequence length is longer than the specified maximum sequence length for this model (15150 > 512). Running this sequence through the model will result in indexing errors
Epoch 2 | Batch 0/4225 | Loss 0.787397 | Accuracy 78.125000
Epoch 2 | Batch 50/4225 | Loss 0.920790 | Accuracy 66.237745
Epoch 2 | Batch 100/4225 | Loss 0.936721 | Accuracy 65.253713
Epoch 2 | Batch 150/4225 | Loss 0.957555 | Accuracy 64.341887
Epoch 2 | Batch 200/4225 | Loss 0.957286 | Accuracy 64.583333
Epoch 2 | Batch 250/4225 | Loss 0.960575 | Accuracy 64.093625
Epoch 2 | Batch 300/4225 | Loss 0.956578 | Accuracy 64.493355
Epoch 2 | Batch 350/4225 | Loss 0.962580 | Accuracy 64.191595
Epoch 2 | Batch 400/4225 | Loss 0.960838 | Accuracy 64.292394
Epoch 2 | Batch 450/4225 | Loss 0.963823 | Accuracy 63.920455
Epoch 2 | Batch 500/4225 | Loss 0.962661 | Accuracy 64.009481
Epoch 2 | Batch 550/4225 | Loss 0.964253 | Accuracy 63.895191
Epoch 2 | Batch 600/4225 | Loss 0.964737 | Accuracy 63.794717
Epoch 2 | Batch 650/4225 | Loss 0.968882 | Accuracy 63.680876
Epoch 2 | Batch 700/4225 | Loss 0.968769 | Accuracy 63.587732
Epoch 2 | Batch 750/4225 | Loss 0.968771 | Accuracy 63.611019
Epoch 2 | Batch 800/4225 | Loss 0.967843 | Accuracy 63.643102
Epoch 2 | Batch 850/4225 | Loss 0.966967 | Accuracy 63.704465
Epoch 2 | Batch 900/4225 | Loss 0.966854 | Accuracy 63.693119
Epoch 2 | Batch 950/4225 | Loss 0.966150 | Accuracy 63.666535
Epoch 2 | Batch 1000/4225 | Loss 0.967499 | Accuracy 63.623876
Epoch 2 | Batch 1050/4225 | Loss 0.966270 | Accuracy 63.647716
Epoch 2 | Batch 1100/4225 | Loss 0.964547 | Accuracy 63.737511
Epoch 2 | Batch 1150/4225 | Loss 0.963965 | Accuracy 63.751629
Epoch 2 | Batch 1200/4225 | Loss 0.965322 | Accuracy 63.728143
Epoch 2 | Batch 1250/4225 | Loss 0.967536 | Accuracy 63.696543
Epoch 2 | Batch 1300/4225 | Loss 0.967976 | Accuracy 63.686587
Epoch 2 | Batch 1350/4225 | Loss 0.967808 | Accuracy 63.651925
Epoch 2 | Batch 1400/4225 | Loss 0.968335 | Accuracy 63.599661
Epoch 2 | Batch 1450/4225 | Loss 0.967036 | Accuracy 63.673759
Epoch 2 | Batch 1500/4225 | Loss 0.967991 | Accuracy 63.657562
Epoch 2 | Batch 1550/4225 | Loss 0.967137 | Accuracy 63.706883
Epoch 2 | Batch 1600/4225 | Loss 0.966191 | Accuracy 63.768738
Epoch 2 | Batch 1650/4225 | Loss 0.967605 | Accuracy 63.717065
Epoch 2 | Batch 1700/4225 | Loss 0.966979 | Accuracy 63.719871
Epoch 2 | Batch 1750/4225 | Loss 0.966434 | Accuracy 63.747501
Epoch 2 | Batch 1800/4225 | Loss 0.966658 | Accuracy 63.763187
Epoch 2 | Batch 1850/4225 | Loss 0.967797 | Accuracy 63.725689
Epoch 2 | Batch 1900/4225 | Loss 0.966453 | Accuracy 63.795371
Epoch 2 | Batch 1950/4225 | Loss 0.967628 | Accuracy 63.725333
Epoch 2 | Batch 2000/4225 | Loss 0.966210 | Accuracy 63.750937
Epoch 2 | Batch 2050/4225 | Loss 0.967123 | Accuracy 63.720441
Epoch 2 | Batch 2100/4225 | Loss 0.966579 | Accuracy 63.762792
Epoch 2 | Batch 2150/4225 | Loss 0.966440 | Accuracy 63.743608
Epoch 2 | Batch 2200/4225 | Loss 0.966892 | Accuracy 63.715357
Epoch 2 | Batch 2250/4225 | Loss 0.966850 | Accuracy 63.721679
Epoch 2 | Batch 2300/4225 | Loss 0.966627 | Accuracy 63.739950
Epoch 2 | Batch 2350/4225 | Loss 0.966277 | Accuracy 63.794662
Epoch 2 | Batch 2400/4225 | Loss 0.966975 | Accuracy 63.761193
Epoch 2 | Batch 2450/4225 | Loss 0.967385 | Accuracy 63.781365
Epoch 2 | Batch 2500/4225 | Loss 0.967108 | Accuracy 63.774490
Epoch 2 | Batch 2550/4225 | Loss 0.968149 | Accuracy 63.725010
Epoch 2 | Batch 2600/4225 | Loss 0.967822 | Accuracy 63.745915
Epoch 2 | Batch 2650/4225 | Loss 0.968263 | Accuracy 63.717701
Epoch 2 | Batch 2700/4225 | Loss 0.968486 | Accuracy 63.721770
Epoch 2 | Batch 2750/4225 | Loss 0.969275 | Accuracy 63.704108
Epoch 2 | Batch 2800/4225 | Loss 0.970016 | Accuracy 63.678151
Epoch 2 | Batch 2850/4225 | Loss 0.969909 | Accuracy 63.676122
Epoch 2 | Batch 2900/4225 | Loss 0.969216 | Accuracy 63.701094
Epoch 2 | Batch 2950/4225 | Loss 0.969718 | Accuracy 63.700864
Epoch 2 | Batch 3000/4225 | Loss 0.969891 | Accuracy 63.691270
Epoch 2 | Batch 3050/4225 | Loss 0.970126 | Accuracy 63.679941
Epoch 2 | Batch 3100/4225 | Loss 0.969566 | Accuracy 63.698202
Epoch 2 | Batch 3150/4225 | Loss 0.969503 | Accuracy 63.711917
Epoch 2 | Batch 3200/4225 | Loss 0.968829 | Accuracy 63.729108
Epoch 2 | Batch 3250/4225 | Loss 0.968641 | Accuracy 63.718856
Epoch 2 | Batch 3300/4225 | Loss 0.968501 | Accuracy 63.733528
Epoch 2 | Batch 3350/4225 | Loss 0.968312 | Accuracy 63.747762
Epoch 2 | Batch 3400/4225 | Loss 0.968183 | Accuracy 63.756064
Epoch 2 | Batch 3450/4225 | Loss 0.967548 | Accuracy 63.769560
Epoch 2 | Batch 3500/4225 | Loss 0.967646 | Accuracy 63.744287
Epoch 2 | Batch 3550/4225 | Loss 0.967757 | Accuracy 63.732047
Epoch 2 | Batch 3600/4225 | Loss 0.968370 | Accuracy 63.712337
Epoch 2 | Batch 3650/4225 | Loss 0.968260 | Accuracy 63.713709
Epoch 2 | Batch 3700/4225 | Loss 0.968464 | Accuracy 63.705755
Epoch 2 | Batch 3750/4225 | Loss 0.968441 | Accuracy 63.696348
Epoch 2 | Batch 3800/4225 | Loss 0.967967 | Accuracy 63.712674
Epoch 2 | Batch 3850/4225 | Loss 0.967483 | Accuracy 63.734257
Epoch 2 | Batch 3900/4225 | Loss 0.967505 | Accuracy 63.735260
Epoch 2 | Batch 3950/4225 | Loss 0.967374 | Accuracy 63.737820
Epoch 2 | Batch 4000/4225 | Loss 0.967104 | Accuracy 63.745001
Epoch 2 | Batch 4050/4225 | Loss 0.967155 | Accuracy 63.750463
Epoch 2 | Batch 4100/4225 | Loss 0.967065 | Accuracy 63.759601
Epoch 2 | Batch 4150/4225 | Loss 0.967107 | Accuracy 63.770025
Epoch 2 | Batch 4200/4225 | Loss 0.967754 | Accuracy 63.750446
Token indices sequence length is longer than the specified maximum sequence length for this model (1195 > 512). Running this sequence through the model will result in indexing errors
Token indices sequence length is longer than the specified maximum sequence length for this model (15150 > 512). Running this sequence through the model will result in indexing errors
Token indices sequence length is longer than the specified maximum sequence length for this model (1195 > 512). Running this sequence through the model will result in indexing errors
Token indices sequence length is longer than the specified maximum sequence length for this model (15150 > 512). Running this sequence through the model will result in indexing errors
Epoch 3 | Batch 0/4225 | Loss 0.870781 | Accuracy 81.250000
Epoch 3 | Batch 50/4225 | Loss 1.012225 | Accuracy 62.500000
Epoch 3 | Batch 100/4225 | Loss 0.994250 | Accuracy 63.118812
Epoch 3 | Batch 150/4225 | Loss 0.993147 | Accuracy 63.100166
Epoch 3 | Batch 200/4225 | Loss 0.986162 | Accuracy 63.246269
Epoch 3 | Batch 250/4225 | Loss 0.977937 | Accuracy 63.670319
